year,name,image_url
2022,Diane Leyre,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Miss_France_2022_Diane_Leyre_1.jpg/90px-Miss_France_2022_Diane_Leyre_1.jpg
2021,Amandine Petit,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Amandine_Petit_%281%29.png/105px-Amandine_Petit_%281%29.png
2020,Clémence Botino,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Cl%C3%A9mence_Botino_en_Un_%C3%A9clair_de_Gu%C3%A9ny.jpg/98px-Cl%C3%A9mence_Botino_en_Un_%C3%A9clair_de_Gu%C3%A9ny.jpg
2019,Vaimalama Chaves,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Vaimalama_Chaves_%C3%A0_Malemort.jpg/95px-Vaimalama_Chaves_%C3%A0_Malemort.jpg
2018,Maëva Coucke,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Ma%C3%ABva_Coucke_au_Tour_Auto_Optic_2000_%28cropped%29.jpg/82px-Ma%C3%ABva_Coucke_au_Tour_Auto_Optic_2000_%28cropped%29.jpg
2017,Alicia Aylies,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Aliciaaylies_%28cropped%29.jpg/107px-Aliciaaylies_%28cropped%29.jpg
2016,Iris Mittenaere,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Iris_Mittenaere_2016.05.07_%28cropped%29.jpg/87px-Iris_Mittenaere_2016.05.07_%28cropped%29.jpg
2015,Camille Cerf,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Camille_Cerf_1.JPG/90px-Camille_Cerf_1.JPG
2014,Flora Coquerel,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flora_Coquerel.JPG/95px-Flora_Coquerel.JPG
2013,Marine Lorphelin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Marine_Lorphelin_Cannes_2013_2.jpg/85px-Marine_Lorphelin_Cannes_2013_2.jpg
2012,Delphine Wespiser,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/DelphineWespiser_Mulhouse_5juillet2014_%281%29.JPG/90px-DelphineWespiser_Mulhouse_5juillet2014_%281%29.JPG
2011,Laury Thilleman,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Laury_Thilleman_Deauville_2017.jpg/45px-Laury_Thilleman_Deauville_2017.jpg
2010,Malika Ménard,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Malika_M%C3%A9nard.JPG/80px-Malika_M%C3%A9nard.JPG
2009,Chloé Mortaud,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Chlo%C3%A9_Mortaud_Deauville.jpg/81px-Chlo%C3%A9_Mortaud_Deauville.jpg
2008,Valérie Bègue,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Val%C3%A9rie_B%C3%A8gue_signat_des_autographe_%C3%A0_l%27hipodrome_de_pau_le_13_janvier_2008_vue_5.JPG/120px-Val%C3%A9rie_B%C3%A8gue_signat_des_autographe_%C3%A0_l%27hipodrome_de_pau_le_13_janvier_2008_vue_5.JPG
2007,Rachel Legrain-Trapani,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/The_Miss_France_of_The_year_2007_Rachel_Legrain.jpg/93px-The_Miss_France_of_The_year_2007_Rachel_Legrain.jpg
2006,Alexandra Rosenfeld,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Miss_europe_by_JM_Rosier.jpg/105px-Miss_europe_by_JM_Rosier.jpg
2005,Cindy Fabre,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cindy_Fabre_Cannes_2013.jpg/85px-Cindy_Fabre_Cannes_2013.jpg
2004,Lætitia Bléger,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Laeticia_bleger-colmar.jpg/76px-Laeticia_bleger-colmar.jpg
2003,Corinne Coman,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Corinne_Coman_Miss_France_2003.JPG/90px-Corinne_Coman_Miss_France_2003.JPG
2002,Sylvie Tellier,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sylvie_Tellier_2009.jpg/84px-Sylvie_Tellier_2009.jpg
2001,Élodie Gossuin,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Elodie_Gossuin_Miss_Europe.jpg/100px-Elodie_Gossuin_Miss_Europe.jpg
2000,Sonia Rolland,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Sonia_Rolland.jpg/79px-Sonia_Rolland.jpg
1999,Mareva Galanter,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mareva5.jpg/120px-Mareva5.jpg
1998,Sophie Thalmann,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Sophie_Thalmann_2013_2.jpg/120px-Sophie_Thalmann_2013_2.jpg
1992,Linda Hardy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Linda_Hardy_2014.jpg/85px-Linda_Hardy_2014.jpg
1987,Nathalie Marquay,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Jean-Pierre_Pernaut_Nathalie_Marquay.jpg/120px-Jean-Pierre_Pernaut_Nathalie_Marquay.jpg
1949,Juliette Figueras,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Juliette_Figueras.jpg/87px-Juliette_Figueras.jpg
1938,Annie Garrigues,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Annie_Garrigues_%28Le_Figaro%2C_1938%29.jpg/68px-Annie_Garrigues_%28Le_Figaro%2C_1938%29.jpg
1934,Simone Barillier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Simone_Barillier_1934.jpg/95px-Simone_Barillier_1934.jpg
1932,Lyne de Souza,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Lyne_de_Souza_1932.jpg/96px-Lyne_de_Souza_1932.jpg
1931,Jeanne Juilla,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jeanne_Juilla_1931.jpg/91px-Jeanne_Juilla_1931.jpg
1930,Yvette Labrousse,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Yvette_Labrousse_1930.jpg/86px-Yvette_Labrousse_1930.jpg
1928,Raymonde Allain,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Raymonde_Allain_1928.jpg/86px-Raymonde_Allain_1928.jpg
1927,Roberte Cusey,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Roberte_Cusey_1927.jpg/92px-Roberte_Cusey_1927.jpg
1920,Agnès Souret,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Agn%C3%A8s_Souret_1921.jpg/85px-Agn%C3%A8s_Souret_1921.jpg
